ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
1;M       ;1.200.000;39;TEC     ;CAS     ;42;31;COQUIMBO        ;3.788.129;512.102;0;412.983;4.116;9.265;420;1;1.700.000;SI;NO ACEPTA;
2;M       ;1.200.000;55;TEC     ;CAS     ;16;90;SANTIAGO        ;0;0;0;1.527.726;385;0;1.724;1;5.700.000;NO;ACEPTA;
3;M       ;800.000;47;UNV     ;CAS     ;48;87;SANTIAGO        ;0;800.000;0;0;460;0;0;1;3.200.000;NO;ACEPTA;
4;F       ;700.000;47;TEC     ;CAS     ;79;148;SAN FERNANDO    ;1.112.326;104.780;0;1.167.713;1.496;0;2.356;2;1.400.000;NO;NO ACEPTA;
5;F       ;4.730.000;32;TEC     ;CAS     ;52;88;SANTIAGO        ;0;750.000;0;15.614;1.085;0;29;1;2.800.000;NO;NO ACEPTA;
6;F       ;500.000;37;TEC     ;CAS     ;139;90;SANTIAGO        ;0;132.982;0;0;112;0;0;1;1.900.000;NO;NO ACEPTA;
7;M       ;1.700.000;56;TEC     ;SOL     ;64;314;COYHAIQUE       ;930.378;1.174.132;0;0;11;0;0;2;8.000.000;NO;NO ACEPTA;
8;F       ;1.162.000;30;TEC     ;SOL     ;90;88;SANTIAGO        ;0;0;0;0;394;49.545;291;1;5.500.000;NO;NO ACEPTA;
9;M       ;7.350.000;41;UNV     ;CAS     ;55;90;SANTIAGO        ;0;800.000;0;0;304;0;0;1;3.100.000;NO;ACEPTA;
10;M       ;616.000;52;UNV     ;CAS     ;31;119;SANTIAGO        ;0;300.000;0;0;0;0;16.043;1;2.200.000;SI;ACEPTA;
11;M       ;2.279.000;40;UNV     ;SEP     ;138;1;ARICA           ;4.373.067;1.000.000;0;966.131;6.833;0;987;2;6.900.000;NO;ACEPTA;
12;M       ;700.000;48;UNV     ;CAS     ;74;272;VALDIVIA        ;0;227.199;0;1.000.000;90;0;1.021;1;2.600.000;NO;NO ACEPTA;
13;F       ;1.000.000;28;UNV     ;CAS     ;44;173;TALCA           ;0;2.600.000;0;0;18;0;0;1;2.400.000;NO;NO ACEPTA;
14;F       ;1.536.000;55;MED     ;CAS     ;39;84;SANTIAGO        ;0;347.816;0;320.337;2.108;0;289;3;7.200.000;NO;NO ACEPTA;
15;M       ;650.000;39;TEC     ;SEP     ;76;45;PETORCA         ;0;388.697;0;246.770;1;0;0;1;2.300.000;NO;NO ACEPTA;
16;M       ;750.000;41;MED     ;CAS     ;31;119;SANTIAGO        ;0;459.827;0;0;322;2.564;0;1;3.300.000;NO;ACEPTA;
17;M       ;74.200;50;MED     ;CAS     ;55;90;SANTIAGO        ;0;500.000;1.366.018;0;0;0;1.664;1;2.100.000;NO;ACEPTA;
18;M       ;700.000;33;UNV     ;CAS     ;48;89;SANTIAGO        ;0;686.288;0;0;1;0;0;1;2.200.000;NO;NO ACEPTA;
19;M       ;744.000;48;MED     ;CAS     ;138;1;ARICA           ;0;103.418;0;241.818;279;0;451;1;3.500.000;NO;ACEPTA;
20;F       ;500.000;49;MED     ;CAS     ;80;81;SANTIAGO        ;0;128.846;0;188.588;187;0;0;1;1.900.000;NO;ACEPTA;
21;M       ;1.000.000;53;UNV     ;;138;1;ARICA           ;609.457;351.911;0;700.000;4.030;0;934;3;1.000.000;SI;ACEPTA;
22;F       ;435.000;50;UNV     ;;131;94;SANTIAGO        ;0;543.111;0;0;0;158;0;1;1.200.000;SI;ACEPTA;
23;M       ;525.000;48;UNV     ;;148;90;SANTIAGO        ;0;201.292;0;0;95;0;0;1;1.900.000;SI;ACEPTA;
24;M       ;600.000;51;UNV     ;SOL     ;90;97;SANTIAGO        ;0;285.070;0;130.936;0;0;16.308;1;2.200.000;NO;ACEPTA;
25;M       ;547.000;48;UNV     ;CAS     ;127;93;SANTIAGO        ;0;892.177;0;298.710;432;0;305;1;1.300.000;SI;ACEPTA;
26;M       ;1.044.000;49;UNV     ;SOL     ;120;116;SANTIAGO        ;1.438.520;232.488;0;187.326;1.672;0;224;1;3.600.000;NO;ACEPTA;
27;F       ;86.000;45;MED     ;SOL     ;51;88;SANTIAGO        ;0;1.745.545;0;0;229;31.718;90;1;8.000.000;SI;NO ACEPTA;
28;M       ;1.160.000;47;TEC     ;CAS     ;83;85;SANTIAGO        ;0;12.044;0;1.099.284;3.595;3.723;5.361;3;2.300.000;NO;ACEPTA;
29;F       ;463.000;63;MED     ;CAS     ;95;316;AYSEN           ;0;423.805;0;289.449;786;0;0;1;1.100.000;NO;NO ACEPTA;
