ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
1;M       ;1200000;39;TEC     ;CAS     ;42;31;COQUIMBO        ;3788129;512102;0;412983;4116;9265;420;1;1700000;SI;NO ACEPTA;
2;M       ;1200000;55;TEC     ;CAS     ;16;90;SANTIAGO        ;0;0;0;1527726;385;0;1724;1;5700000;NO;ACEPTA;
3;M       ;800000;47;UNV     ;CAS     ;48;87;SANTIAGO        ;0;800000;0;0;460;0;0;1;3200000;NO;ACEPTA;
4;F       ;700000;47;TEC     ;CAS     ;79;148;SAN FERNANDO    ;1112326;104780;0;1167713;1496;0;2356;2;1400000;NO;NO ACEPTA;
5;F       ;4730000;32;TEC     ;CAS     ;52;88;SANTIAGO        ;0;750000;0;15614;1085;0;29;1;2800000;NO;NO ACEPTA;
6;F       ;500000;37;TEC     ;CAS     ;139;90;SANTIAGO        ;0;132982;0;0;112;0;0;1;1900000;NO;NO ACEPTA;
7;M       ;1700000;56;TEC     ;SOL     ;64;314;COYHAIQUE       ;930378;1174132;0;0;11;0;0;2;8000000;NO;NO ACEPTA;
8;F       ;1162000;30;TEC     ;SOL     ;90;88;SANTIAGO        ;0;0;0;0;394;49545;291;1;5500000;NO;NO ACEPTA;
9;M       ;7350000;41;UNV     ;CAS     ;55;90;SANTIAGO        ;0;800000;0;0;304;0;0;1;3100000;NO;ACEPTA;
10;M       ;616000;52;UNV     ;CAS     ;31;119;SANTIAGO        ;0;300000;0;0;0;0;16043;1;2200000;SI;ACEPTA;
11;M       ;2279000;40;UNV     ;SEP     ;138;1;ARICA           ;4373067;1000000;0;966131;6833;0;987;2;6900000;NO;ACEPTA;
12;M       ;700000;48;UNV     ;CAS     ;74;272;VALDIVIA        ;0;227199;0;1000000;90;0;1021;1;2600000;NO;NO ACEPTA;
13;F       ;1000000;28;UNV     ;CAS     ;44;173;TALCA           ;0;2600000;0;0;18;0;0;1;2400000;NO;NO ACEPTA;
14;F       ;1536000;55;MED     ;CAS     ;39;84;SANTIAGO        ;0;347816;0;320337;2108;0;289;3;7200000;NO;NO ACEPTA;
15;M       ;650000;39;TEC     ;SEP     ;76;45;PETORCA         ;0;388697;0;246770;1;0;0;1;2300000;NO;NO ACEPTA;
16;M       ;750000;41;MED     ;CAS     ;31;119;SANTIAGO        ;0;459827;0;0;322;2564;0;1;3300000;NO;ACEPTA;
17;M       ;74200;50;MED     ;CAS     ;55;90;SANTIAGO        ;0;500000;1366018;0;0;0;1664;1;2100000;NO;ACEPTA;
18;M       ;700000;33;UNV     ;CAS     ;48;89;SANTIAGO        ;0;686288;0;0;1;0;0;1;2200000;NO;NO ACEPTA;
19;M       ;744000;48;MED     ;CAS     ;138;1;ARICA           ;0;103418;0;241818;279;0;451;1;3500000;NO;ACEPTA;
20;F       ;500000;49;MED     ;CAS     ;80;81;SANTIAGO        ;0;128846;0;188588;187;0;0;1;1900000;NO;ACEPTA;
21;M       ;1000000;53;UNV     ;;138;1;ARICA           ;609457;351911;0;700000;4030;0;934;3;1000000;SI;ACEPTA;
22;F       ;435000;50;UNV     ;;131;94;SANTIAGO        ;0;543111;0;0;0;158;0;1;1200000;SI;ACEPTA;
23;M       ;525000;48;UNV     ;;148;90;SANTIAGO        ;0;201292;0;0;95;0;0;1;1900000;SI;ACEPTA;
24;M       ;600000;51;UNV     ;SOL     ;90;97;SANTIAGO        ;0;285070;0;130936;0;0;16308;1;2200000;NO;ACEPTA;
25;M       ;547000;48;UNV     ;CAS     ;127;93;SANTIAGO        ;0;892177;0;298710;432;0;305;1;1300000;SI;ACEPTA;
26;M       ;1044000;49;UNV     ;SOL     ;120;116;SANTIAGO        ;1438520;232488;0;187326;1672;0;224;1;3600000;NO;ACEPTA;
27;F       ;86000;45;MED     ;SOL     ;51;88;SANTIAGO        ;0;1745545;0;0;229;31718;90;1;8000000;SI;NO ACEPTA;
28;M       ;1160000;47;TEC     ;CAS     ;83;85;SANTIAGO        ;0;12044;0;1099284;3595;3723;5361;3;2300000;NO;ACEPTA;
29;F       ;463000;63;MED     ;CAS     ;95;316;AYSEN           ;0;423805;0;289449;786;0;0;1;1100000;NO;NO ACEPTA;
30;F       ;6250000;36;MED     ;SOL     ;90;89;SANTIAGO        ;2503920;825989;0;0;3754;17203;1164;1;3400000;NO;NO ACEPTA;
31;M       ;797000;60;MED     ;CAS     ;149;108;SANTIAGO        ;0;300000;0;181933;0;0;186;0;3700000;NO;NO ACEPTA;
32;M       ;2349000;53;TEC     ;CAS     ;84;85;SANTIAGO        ;0;0;0;0;744;39255;436;2;8000000;NO;NO ACEPTA;
